XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAINFALL,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,TAGAP_DRY,TAGAP_WET,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_FISH,LF_CROP,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,FP_WRK,FP_FEMWRK,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,LA_RICE1HA,LA_CULT1HA,MA_INDACT,MA_PROXROAD,SW_PROXRIV,SW_PONDS,FISHPRO
376911,1422568,15010415,K'amsamna,1,4.66438389,3,25.2,0,0,5691377.77799999,1128.248779,4608.819824,40014.9590299999,0,474,0.749077,318.182,252.632,1019.84127,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4155.512413,29625.41891,0,0
390009,1387026,15050812,Kaev Muni,2,-9999,5,31.6,0,0,7317485.71499999,2385.712646,1946.949097,44341.3065399999,0,474,0.983264,664.596,314.655,17.24137931,889.6551724,0,458.6206897,1.272589499,227.5862069,0,0,106.557377,278.6885246,614.7540984,1.5,0,548.67257,433.62832,0.553097345,9.4174386,6423.129128,0,0
287488,1489386,1020115,Prey Changha Kaeut,2,0.49687499,5,31.6,0,0,1219580.953,2205.954346,1335.215942,73517.1012099999,0,478,0.87451,335.443,0,0,353.8011696,5.847953216,184.2105263,1.131503854,204.6783626,0,0,168.4210526,73.68421053,757.8947368,2,0,42.01681,840.33613,3.28221669,232.237866,2637.388602,36,0
328300,1504000,1040813,Kampong Thkov,2,1.98322368,5,24,0,813053.9684,0,1491.748657,1230.051147,55511.5278699999,0,478,1.025424,473.958,35.714,0,738.6363636,3.787878788,109.8484848,1.185140595,60.60606061,0,0,121.4953271,130.8411215,747.6635514,1,2,78.94737,0,0.548245614,74.1947389,43158.99904,2,0
392200,1469000,17090706,Kampong Thkov,2,8.58259201,5,18.6,0,6097904.763,0,2290.487549,1317.98938,43245.60629,0,478,1.025424,473.958,35.714,221.5447154,670.7317073,56.91056911,50.81300813,1.012329798,26.42276423,0,0,0,0,0,1,2,78.94737,0,0.822368421,11.36488772,78197.0763699999,2,0
403855,1387347,15030803,Thnoeng,2,-9999,5,29.8,0,1626107.93699999,0,1119.447144,1420.93335,34475.1221999999,0,479,0.794007,725.888,0,0,790.7801418,0,49.64539007,0.224405678,0,0,0,32,168,800,1,0,296.61017,0,7.403584795,386.7949264,16550.4154899999,0,0
286690,1502576,1060302,Ta Sokh,3,1.05562496,5,31.8,0,1219580.953,0,2617.565918,1190.002686,81385.9569099999,0,482,0.935743,502.825,46.083,0,447.8764479,0,0,0.893320137,810.8108108,0,0,96.15384615,192.3076923,711.5384615,1.5,0,0,425.92593,0,443.552583,4095.328228,1,0
385000,1390400,15020704,Svay Chan,2,1.80026043,5,31.4,0,406526.9842,813053.9684,1456.972778,1219.629028,46450.77343,0,482,0.897638,718.121,37.037,6.622516556,278.1456954,0,185.4304636,1.062241481,0,0,0,37.73584906,179.245283,783.0188679,2,0,384.61538,0,3.783555809,90.27303644,5548.902531,4,0
415800,1385500,15030705,Trapeang Smach,2,4.7869215,5,29.4,0,0,2032634.921,2239.296631,2482.20459,30772.6960399999,0,482,0.928,893.401,86.957,17.208413,804.9713193,38.24091778,57.36137667,0.875835367,57.36137667,0,0,122.9508197,139.3442623,737.704918,2,0,740.74074,46.2963,0.393081761,93.50891879,23804.0023,0,0
377789,1388649,15010715,Svay At,2,0.515625,5,32.2,0,0,3658742.858,1617.137451,1264.326172,53542.8160599999,0,484,0.99177,596.591,48.78,0,834.4827586,0,68.96551724,0.269727805,0,0,0,0,0,0,2,1.5,887.93103,0,8.869874978,867.5760849,951.3457247,0,0
