XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_RICE,LF_VEGE,LF_LSC,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,RYLD_DANDW,RYLD_RANDI,LA_RICE1HA,LA_CULT1HA,INDAGRIM,A_IRRIC,A_IRRIR,A_IRRIP,A_IRRIW,MA_INDACT,MA_PROXROAD,TAGAP_DRY,TAGAP_WET,SW_PROXRIV,SW_PONDS,GW_DWELL,GW_BOREW,IRRI_SCH,IRRI_HEAD
315700,1449100,2080402,Pou Batdambang,2,1.73595858,5,30.4,0,0,4065269.842,36346.7452399999,0,1103,0.983813,732.095,60.329,388.5630499,51.32,57.185,99.70674487,1.376048777,136.3636364,166.023166,254.8262548,579.1505792,3,0,-1,0,254.23729,76.27119,16.71336284,0,0,0,0,10.26933215,443.8914236,1741.567139,1235.494629,9723.900487,5,6,0,0,No
355800,1400800,15010513,Phsar Andaet,2,0.63124996,5,30,0,2439161.90499999,813053.9684,53041.93136,0,1101,0.895009,651.769,61.538,475.308642,341.564,1002.058,14.40329218,0.615812747,0,138.8888889,185.1851852,675.9259259,1.5,2.5,0.3369,0.0667,259.80392,102.94118,27.77310061,0,0,0,0,1.504149052,92.85325535,1705.511719,1074.301514,1118.932369,0,16,0,0,Yes
471765,1415352,6020707,Sari,2,2.5406251,5,28.6,0,2032634.921,0,31879.6754399999,0,1098,0.845378,786.408,0,783.3572453,17.217,0,249.6413199,0.746922505,15.78192253,100.877193,135.9649123,763.1578947,1.5,3,-0.8207,-0.8362,214.61187,9.13242,14.54625892,0.0096,0.0034,0,0,3.327881051,215.6116785,1152.222778,1558.231079,78056.6486799999,0,34,0,0,No
309540,1456913,2050105,Sdei,2,0.91572917,4,31.2,0,0,3252215.873,42339.10925,0,1097,0.927944,612.795,42.802,289.9850523,188.341,497.758,264.573991,1.305828843,50.82212257,139.5348837,186.0465116,674.4186047,0.5,2.5,-0.8533,-0.0909,814.67181,185.32819,20.84942085,0,0,0,0,3.972608098,23.0624094,1614.949829,1366.337891,9420.444143,4,23,0,0,No
441855,1376288,4011004,Svay Koy,2,1.14374995,5,30,0,1626107.93699999,813053.9684,19237.38174,0,1096,0.736926,933.535,5.859,971.2556732,77.156,45.386,108.9258699,0.779533048,30.25718608,105.9190031,130.8411215,763.2398754,1.5,0,-0.9675,-1,12.53918,9.40439,6.521381597,0,0,0,0,2.636112843,284.567819,1710.184204,1734.589966,30536.1227,0,233,0,0,No
285523,1486876,1020602,Phnum Prasat,2,-9999,5,32.8,0,0,406526.9842,74083.0129199999,0,1095,0.931217,844.72,0,306.2583222,79.893,1.332,210.3861518,1.299495572,214.3808256,110.2040816,93.87755102,795.9183673,3,3.5,-0.9889,-1,260.22305,156.13383,8.846488142,0,0,0,0,20.64181957,399.1052979,2724.444092,1364.358765,474.8960163,0,0,0,0,No
284548,1487099,1020604,Chamkar Louk,2,-9999,5,32.8,0,0,2439161.90499999,75054.9778099999,0,1094,1.029685,616.667,0,259.5628415,398.907,12.295,19.12568306,1.15331011,349.726776,79.36507937,111.1111111,809.5238095,3,4,-0.9889,-1,245.61404,347.36842,3.50877193,0,0,0,0,4.12127826,600.9821119,2190.083008,1393.542969,525.1465587,4,0,0,0,No
378340,1475499,17100405,Chonlong,3,-9999,5,18,0,2439161.90499999,0,34386.69157,0,1093,1.012891,745.592,0,0,6.974,12.552,165.9693166,0.594103549,16.73640167,0,0,0,0,0,0.4211,-1,0,0,0,0.6364,0,0,0,19.82445786,23.68262174,1740.835449,883.043457,77388.67999,0,0,2,0,No
316800,1460300,2050407,Bak Roteh,2,6.19249678,5,29,0,0,6910958.73099999,35575.9943799999,0,1092,1.041121,486.216,202.206,0,0,437.026,48.55842185,1.2991108,68.28528073,118.7214612,337.8995434,543.3789954,1.5,2.5,-0.8533,-0.0909,337.83784,337.83784,38.40028045,0,0,0,0,3.149742996,407.9951057,2263.363037,2317.016357,16841.26625,0,0,0,0,No
370400,1402800,15010106,Robang Romeas,2,2.90046644,5,29.2,0,0,5691377.77799999,54195.37804,0,1092,0.939609,626.536,203.774,837.4233129,23.006,69.018,46.01226994,0.972628044,579.7546012,21.27659574,46.09929078,932.6241135,2.5,2,-0.9884,0.7143,96.77419,64.51613,17.45397243,0,0,0,0,1.411290323,109.310767,1468.36499,1006.675964,9333.80669,15,24,0,0,No
383462,1385823,15050501,Bak Roteh,3,2.0945313,5,32.6,0,813053.9684,0,50277.07067,0,1092,1.041121,486.216,202.206,89.28571429,0,437.026,179.8469388,1.338704217,39.54081633,0,0,0,1.5,2.5,-1,0,337.83784,337.83784,2.232142857,0,0,0,0,9.65729945,324.7948182,1773.557129,1205.561035,1133.505061,0,0,1,0,No
