XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_CROP,LF_FISH,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,LAT_NOIMPR,LAT_IMPR,WA_NEAR,WA_WITHIN,WS_PUR,WS_WELL,WS_POND,WS_RIV,WS_RAINS,WT_FILT,WT_BOIL,WT_CHLTT,WT_SOLTT,MA_INDACT,MA_PROXROAD,WA_AWAY,WS_UNSAFE,WT_UNTREAT
354080,1490776,17070112,Pak Pan,2,3.16942573,5,21,1088,1.088292,497.521,359.694,1022.680412,26.80412371,519.5876289,8.24742268,1.011238435,2.06185567,8.84955752,48.67256637,942.4778761,473.42995,0,63,458,0,1000,0,0,0,434.7826086957,48.309178744,0,0,1.022431872,19.13533405,479,0,517
431032,1443909,17041205,Thnal Louk,2,4.01965904,5,23,1089,1.074286,476.712,0,758.9820359,0,0,11.9760479,0.768357411,125.748503,132.4786325,200.8547009,666.6666667,251.08225,103.8961,215,440,0,1000,0,0,0,670.9956709957,51.9480519481,0,0,0,39.33768121,340,0,277
446155,1387919,6020604,Tuol Neang Sav,1,1.90596068,3,29.6,1090,1.171315,292.531,488.806,41.03343465,796.3525836,39.51367781,42.55319149,0.858410286,31.91489362,411.1111111,200,388.8888889,0,0,420,46,0,0,0,1000,0,0,458.3333333333,0,0,0,7514.214193,518,1000,542
394154,1473643,17090506,Trapeang Thnal,2,0.72296876,5,18.2,1091,0.930973,795.276,0,1345.549738,0,106.4572426,64.57242583,1.009632746,0,62.20095694,23.92344498,913.8755981,95,95,105,857,0,1000,0,0,0,875,30,60,0,0,284.5903868,38,0,35
316800,1460300,2050407,Bak Roteh,2,6.19249678,5,29,1092,1.041121,486.216,202.206,437.0257967,443.0955994,144.1578149,48.55842185,1.2991108,68.28528073,118.7214612,337.8995434,543.3789954,90.09009,90.09009,732,89,0,0,0,1000,0,121.6216216216,833.3333333333,0,0,3.149742996,407.9951057,179,1000,45
370400,1402800,15010106,Robang Romeas,2,2.90046644,5,29.2,1092,0.939609,626.536,203.774,929.4478528,0,0,46.01226994,0.972628044,579.7546012,21.27659574,46.09929078,932.6241135,261.29032,261.29032,284,85,0,470.9677419355,238.7096774194,290.3225806452,0,32.2580645161,0,0,0,1.411290323,109.310767,630,529,968
383462,1385823,15050501,Bak Roteh,3,2.0945313,5,32.6,1092,1.041121,486.216,202.206,168.3673469,0,10.20408163,179.8469388,1.338704217,39.54081633,0,0,0,90.09009,90.09009,594,189,833.3333333333,9.009009009,0,0,166.6666666667,0,495.4954954955,0,0,9.65729945,324.7948182,217,0,505
378340,1475499,17100405,Chonlong,3,-9999,5,18,1093,1.012891,745.592,0,19.52580195,0,0,165.9693166,0.594103549,16.73640167,0,0,0,599.0099,346.53465,34,921,0,1000,0,0,0,0,49.504950495,0,0,19.82445786,23.68262174,11,0,950
284548,1487099,1020604,Chamkar Louk,2,-9999,5,32.8,1094,1.029685,616.667,0,670.7650273,0,0,19.12568306,1.15331011,349.726776,79.36507937,111.1111111,809.5238095,912.2807,842.10526,349,50,526.3157894737,333.3333333333,35.0877192982,0,105.2631578947,210.5263157895,631.5789473684,0,0,4.12127826,600.9821119,601,35,158
285523,1486876,1020602,Phnum Prasat,2,-9999,5,32.8,1095,0.931217,844.72,0,387.4833555,0,0,210.3861518,1.299495572,214.3808256,110.2040816,93.87755102,795.9183673,895.91078,895.91078,186,632,959.1078066915,40.8921933086,0,0,0,0,14.8698884758,0,0,20.64181957,399.1052979,173,0,985
